IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,167,9.00
154.17.228.214,2345,443,true,LAX,North America,Los Angeles,173,7.47
154.17.14.206,2443,443,true,LAX,North America,Los Angeles,165,6.70
154.21.90.72,36532,443,true,LAX,North America,Los Angeles,167,6.48
154.21.93.36,53086,443,true,LAX,North America,Los Angeles,175,6.33
154.17.29.48,17352,443,true,LAX,North America,Los Angeles,160,5.95
154.17.12.49,22515,443,true,LAX,North America,Los Angeles,164,5.63
154.17.231.85,24002,443,true,LAX,North America,Los Angeles,170,5.16
45.59.187.24,13284,443,true,SJC,North America,San Jose,160,5.07
154.17.21.94,13075,443,true,LAX,North America,Los Angeles,165,4.81
154.17.19.18,28479,443,true,LAX,North America,Los Angeles,153,4.20
154.17.18.44,18920,443,true,LAX,North America,Los Angeles,169,4.17
154.17.1.71,4403,443,true,LAX,North America,Los Angeles,161,4.13
154.17.30.48,16886,443,true,LAX,North America,Los Angeles,185,3.84
154.17.30.48,21213,443,true,LAX,North America,Los Angeles,165,3.75
154.17.23.129,13551,443,true,LAX,North America,Los Angeles,166,3.66
45.59.186.16,14092,443,true,SJC,North America,San Jose,168,3.58
154.17.225.34,35805,443,true,LAX,North America,Los Angeles,151,3.57
154.21.82.84,8443,443,true,LAX,North America,Los Angeles,159,3.52
154.21.81.84,52249,443,true,LAX,North America,Los Angeles,161,3.34
45.59.185.98,52513,443,true,SJC,North America,San Jose,165,3.24
154.17.10.111,14515,443,true,LAX,North America,Los Angeles,166,3.18
154.17.23.14,45929,443,true,LAX,North America,Los Angeles,172,2.99
154.17.229.17,36342,443,true,LAX,North America,Los Angeles,152,2.91
154.21.80.108,35354,443,true,LAX,North America,Los Angeles,167,2.85
154.17.9.35,882,443,true,LAX,North America,Los Angeles,173,2.80
65.75.193.154,14491,443,true,SJC,North America,San Jose,186,2.77
45.59.184.55,443,443,true,SJC,North America,San Jose,173,2.72
154.17.29.69,6667,443,true,LAX,North America,Los Angeles,173,2.63
154.17.10.2,19865,443,true,LAX,North America,Los Angeles,174,2.59
154.21.87.49,4433,443,true,LAX,North America,Los Angeles,165,2.52
65.75.194.7,12266,443,true,SJC,North America,San Jose,170,2.48
154.21.83.78,34470,443,true,LAX,North America,Los Angeles,167,2.32
65.75.193.21,39458,443,true,SJC,North America,San Jose,184,2.28
65.75.192.67,42930,443,true,SJC,North America,San Jose,161,2.26
154.17.25.65,443,443,true,LAX,North America,Los Angeles,173,2.18
154.17.10.111,58475,443,true,LAX,North America,Los Angeles,164,2.18
154.21.91.60,12506,443,true,LAX,North America,Los Angeles,167,2.14
154.17.30.48,55558,443,true,LAX,North America,Los Angeles,173,2.00
154.17.10.2,43982,443,true,LAX,North America,Los Angeles,167,1.83
154.17.225.138,59430,443,true,SIN,Asia Pacific,Singapore,153,1.64
154.17.19.18,30684,443,true,LAX,North America,Los Angeles,155,1.52
154.21.93.36,48520,443,true,LAX,North America,Los Angeles,157,1.50
45.59.187.105,26443,443,true,SJC,North America,San Jose,166,1.49
154.21.87.106,22989,443,true,LAX,North America,Los Angeles,165,1.47
154.21.85.62,22353,443,true,LAX,North America,Los Angeles,165,1.38
154.21.90.142,8443,443,true,LAX,North America,Los Angeles,160,1.07
65.75.192.38,33043,443,true,SJC,North America,San Jose,180,0.97
65.75.193.21,37813,443,true,SJC,North America,San Jose,178,0.94
154.17.10.2,14257,443,true,LAX,North America,Los Angeles,173,0.89
154.17.22.60,54508,443,true,LAX,North America,Los Angeles,173,0.86
154.17.10.2,11843,443,true,LAX,North America,Los Angeles,165,0.82
154.17.10.2,43173,443,true,LAX,North America,Los Angeles,173,0.68
154.17.5.183,54403,443,true,LAX,North America,Los Angeles,167,0.62
154.17.31.108,19355,443,true,LAX,North America,Los Angeles,156,0.61
65.75.194.66,51246,443,true,SJC,North America,San Jose,185,0.46
65.75.195.188,20596,443,true,SJC,North America,San Jose,177,0.16
65.75.195.188,57584,443,true,SJC,North America,San Jose,181,0.12
65.75.195.188,29913,443,true,SJC,North America,San Jose,176,0.11
65.75.195.188,19316,443,true,SJC,North America,San Jose,185,0.10
65.75.195.188,54893,443,true,SJC,North America,San Jose,179,0.09
65.75.195.188,16081,443,true,SJC,North America,San Jose,151,0.08
174.136.206.95,57757,443,true,SJC,North America,San Jose,161,0.05
65.75.195.188,50795,443,true,SJC,North America,San Jose,174,0.04
45.59.184.16,38908,443,true,SJC,North America,San Jose,171,0.00
65.75.192.14,58846,443,true,SJC,North America,San Jose,184,0.00
174.136.205.115,24378,443,true,SJC,North America,San Jose,155,0.00
